"name","capital","demonym","lat","lon"
"Kuwait","Kuwait City","Kuwaiti",29.5,45.75
"Laos","Vientiane","Laotian",18,105
"Lebanon","Beirut","Lebanese",33.83333333,35.83333333
"Liberia","Monrovia","Liberian",6.5,-9.5
"Libya","Tripoli","Libyan",25,17
"Saint Lucia","Castries","Saint Lucian",13.88333333,-60.96666666
"Liechtenstein","Vaduz","Liechtensteiner",47.26666666,9.53333333
"Sri Lanka","Colombo","Sri Lankan",7,81
"Lesotho","Maseru","Mosotho",-29.5,28.5
"Lithuania","Vilnius","Lithuanian",56,24
"Luxembourg","Luxembourg","Luxembourger",49.75,6.16666666
"Latvia","Riga","Latvian",57,25
"Macau","","Chinese",22.16666666,113.55
"Saint Martin","Marigot","Saint Martin Islander",18.08333333,-63.95
"Morocco","Rabat","Moroccan",32,-5
"Monaco","Monaco","Monegasque",43.73333333,7.4
"Moldova","Chișinău","Moldovan",47,29
"Madagascar","Antananarivo","Malagasy",-20,47
"Maldives","Malé","Maldivan",3.25,73
"Mexico","Mexico City","Mexican",23,-102
"Marshall Islands","Majuro","Marshallese",9,168
"Macedonia","Skopje","Macedonian",41.83333333,22
"Mali","Bamako","Malian",17,-4
"Malta","Valletta","Maltese",35.83333333,14.58333333
"Myanmar","Naypyidaw","Bamar",22,98
"Montenegro","Podgorica","Montenegrin",42.5,19.3
"Mongolia","Ulan Bator","Mongolian",46,105
"Northern Mariana Islands","Saipan","American",15.2,145.75
"Mozambique","Maputo","Mozambican",-18.25,35
"Mauritania","Nouakchott","Mauritanian",20,-12
"Montserrat","Plymouth","Montserratian",16.75,-62.2
"Martinique","Fort-de-France","French",14.666667,-61
"Mauritius","Port Louis","Mauritian",-20.28333333,57.55
"Malawi","Lilongwe","Malawian",-13.5,34
"Malaysia","Kuala Lumpur","Malaysian",2.5,112.5
"Mayotte","Mamoudzou","Mahoran",-12.83333333,45.16666666
"Namibia","Windhoek","Namibian",-22,17
"New Caledonia","Nouméa","New Caledonian",-21.5,165.5
"Niger","Niamey","Nigerien",16,8
"Norfolk Island","Kingston","Norfolk Islander",-29.03333333,167.95
"Nigeria","Abuja","Nigerian",10,8
"Nicaragua","Managua","Nicaraguan",13,-85
"Niue","Alofi","Niuean",-19.03333333,-169.86666666
"Netherlands","Amsterdam","Dutch",52.5,5.75
"Norway","Oslo","Norwegian",62,10
"Nepal","Kathmandu","Nepalese",28,84
"Nauru","Yaren","Nauruan",-0.53333333,166.91666666
"New Zealand","Wellington","New Zealander",-41,174
"Oman","Muscat","Omani",21,57
"Pakistan","Islamabad","Pakistani",30,70
"Panama","Panama City","Panamanian",9,-80
"Pitcairn Islands","Adamstown","Pitcairn Islander",-25.06666666,-130.1
"Peru","Lima","Peruvian",-10,-76
"Philippines","Manila","Filipino",13,122
"Palau","Ngerulmud","Palauan",7.5,134.5
"Papua New Guinea","Port Moresby","Papua New Guinean",-6,147
"Poland","Warsaw","Polish",52,20
"Puerto Rico","San Juan","Puerto Rican",18.25,-66.5
"North Korea","Pyongyang","North Korean",40,127
"Portugal","Lisbon","Portuguese",39.5,-8
"Paraguay","Asunción","Paraguayan",-23,-58
"Palestine","Ramallah","Palestinian",31.9,35.2
"French Polynesia","Papeetē","French Polynesian",-15,-140
"Qatar","Doha","Qatari",25.5,51.25
"Réunion","Saint-Denis","French",-21.15,55.5
"Romania","Bucharest","Romanian",46,25
"Russia","Moscow","Russian",60,100
"Rwanda","Kigali","Rwandan",-2,30
"Saudi Arabia","Riyadh","Saudi Arabian",25,45
"Sudan","Khartoum","Sudanese",15,30
"Senegal","Dakar","Senegalese",14,-14
"Singapore","Singapore","Singaporean",1.36666666,103.8
"South Georgia","King Edward Point","South Georgian South Sandwich Islander",-54.5,-37
"Svalbard and Jan Mayen","Longyearbyen","Norwegian",78,20
"Solomon Islands","Honiara","Solomon Islander",-8,159
"Sierra Leone","Freetown","Sierra Leonean",8.5,-11.5
"El Salvador","San Salvador","Salvadoran",13.83333333,-88.91666666
"San Marino","City of San Marino","Sammarinese",43.76666666,12.41666666
"Somalia","Mogadishu","Somali",10,49
"Saint Pierre and Miquelon","Saint-Pierre","French",46.83333333,-56.33333333
"Serbia","Belgrade","Serbian",44,21
"South Sudan","Juba","South Sudanese",7,30
"São Tomé and Príncipe","São Tomé","Sao Tomean",1,7
"Suriname","Paramaribo","Surinamer",4,-56
"Slovakia","Bratislava","Slovak",48.66666666,19.5
"Slovenia","Ljubljana","Slovene",46.11666666,14.81666666
"Sweden","Stockholm","Swedish",62,15
"Swaziland","Lobamba","Swazi",-26.5,31.5
"Sint Maarten","Philipsburg","St. Maartener",18.033333,-63.05
"Seychelles","Victoria","Seychellois",-4.58333333,55.66666666
"Syria","Damascus","Syrian",35,38
"Turks and Caicos Islands","Cockburn Town","Turks and Caicos Islander",21.75,-71.58333333
"Chad","N'Djamena","Chadian",15,19
"Togo","Lomé","Togolese",8,1.16666666
"Thailand","Bangkok","Thai",15,100
"Tajikistan","Dushanbe","Tadzhik",39,71
"Tokelau","Fakaofo","Tokelauan",-9,-172
